0,6,4,3,11,4,4,4,0,0,4,0,6,2,1,2,2,1,1,0,1
1,48,2,3,59,0,2,2,1,0,2,0,2,2,1,1,2,1,0,0,0
3,12,4,6,20,0,3,2,0,0,3,0,4,2,1,1,1,2,0,0,1
0,42,2,2,78,0,3,2,0,2,4,1,4,2,2,1,2,2,0,0,1
3,36,2,6,90,4,2,2,0,0,4,3,3,2,2,1,1,2,1,0,1
3,12,2,3,30,3,3,2,0,0,4,0,6,2,1,1,1,1,0,0,1
1,12,2,0,12,0,1,3,1,0,1,2,2,2,0,1,2,1,0,0,0
0,24,4,0,11,0,4,4,0,0,4,2,6,2,1,2,1,1,0,0,0
3,24,4,3,24,4,4,4,0,0,4,1,5,2,1,2,2,1,0,0,1
1,24,2,1,125,0,4,4,1,0,2,3,4,2,2,1,3,1,1,0,0
3,9,4,0,21,0,2,4,0,0,4,2,4,2,1,3,2,1,1,0,1
0,6,2,3,26,2,2,2,0,0,3,0,4,2,0,1,2,2,0,0,1
0,10,4,0,22,0,1,1,0,0,3,0,4,2,0,2,1,2,0,1,1
1,12,4,1,18,1,1,3,0,0,4,1,4,2,1,1,2,1,0,0,1
3,10,4,2,20,4,2,2,0,0,1,2,2,2,1,2,2,1,0,1,1
3,6,0,3,4,0,4,4,0,0,4,2,3,2,1,1,1,1,0,0,1
2,12,1,3,4,3,2,3,1,0,3,0,4,2,0,2,2,1,0,0,1
0,60,3,9,68,0,4,3,0,0,4,3,6,2,1,2,2,1,1,0,0
1,18,2,9,19,3,1,3,0,0,3,0,3,0,1,1,2,1,1,0,1
1,45,4,3,47,0,1,4,0,0,2,1,2,2,1,2,1,1,0,0,0
3,48,4,6,61,0,2,1,0,0,3,3,3,0,2,1,2,1,1,0,1
2,18,2,3,21,0,2,4,0,1,2,0,3,1,1,1,2,1,0,0,0
2,10,2,4,12,0,2,2,0,0,2,2,3,2,1,1,2,1,1,0,1
1,9,2,3,4,0,2,4,0,0,3,0,2,2,1,1,2,1,0,0,1
1,18,3,5,62,0,2,2,0,0,4,0,4,2,1,1,1,2,1,0,1
0,30,4,1,61,1,3,1,0,0,4,2,2,2,0,2,2,1,0,0,1
0,48,4,1,61,0,4,4,1,0,4,3,5,1,2,2,1,1,0,0,0
0,6,2,1,13,2,0,1,1,0,2,1,2,2,0,1,0,1,1,0,1
3,11,4,0,72,0,2,1,0,0,4,1,3,2,1,2,1,1,0,0,1
1,27,3,1,59,0,4,1,0,0,2,2,3,2,1,2,3,1,1,0,1
3,12,2,3,12,0,2,3,0,0,2,2,2,2,1,1,2,1,0,0,1
3,18,2,1,33,4,2,2,0,0,1,1,3,2,1,1,2,1,1,0,1
3,6,1,0,7,4,2,1,0,2,2,0,2,1,1,1,1,2,0,0,1
1,15,4,3,15,4,4,4,0,2,4,0,5,2,1,2,2,1,1,0,1
1,36,0,9,19,0,4,4,0,0,4,3,6,2,2,1,3,1,1,0,0
1,48,0,9,144,0,2,2,0,0,2,2,2,2,1,1,2,1,1,0,0
3,24,2,3,31,0,1,4,1,0,4,1,2,2,1,1,2,1,1,0,1
3,27,2,5,51,4,4,4,0,0,4,1,4,2,1,4,2,2,1,0,1
3,12,2,3,21,0,1,2,1,0,2,2,2,0,1,1,2,1,0,0,1
1,12,2,0,10,3,2,4,0,0,1,0,2,2,1,1,2,1,0,0,1
3,36,2,1,81,0,2,1,1,0,2,1,3,0,1,1,2,1,0,0,1
3,7,4,3,7,4,4,4,0,0,2,1,4,2,0,2,1,1,1,0,1
0,8,4,10,11,0,4,3,0,0,4,3,5,0,2,2,3,2,1,0,1
0,36,2,6,19,4,4,4,0,0,4,3,4,2,1,1,3,1,1,0,0
0,42,2,3,39,0,1,4,0,0,3,2,3,2,1,1,2,1,0,0,0
3,54,0,1,94,4,2,2,0,0,2,1,3,2,1,1,1,2,0,0,1
3,24,2,3,59,4,1,1,1,0,1,2,4,2,1,2,2,1,1,0,0
3,15,2,3,12,2,4,4,0,0,3,1,4,1,1,1,2,1,1,0,1
3,18,2,9,15,1,2,3,1,0,4,1,2,2,0,1,1,1,0,0,1
0,24,2,10,17,0,4,4,1,2,4,0,5,2,1,1,1,1,1,0,1
0,10,2,3,23,0,4,3,0,0,4,0,5,2,1,1,1,1,0,0,1
3,12,4,9,14,0,2,4,1,2,2,0,2,2,1,2,3,1,1,0,1
1,36,2,6,126,1,2,1,0,0,4,3,4,2,2,1,2,2,1,0,0
0,18,2,0,22,1,3,4,0,0,3,2,3,2,1,1,3,2,1,0,1
0,12,0,5,11,0,3,4,0,0,3,0,2,2,1,2,2,1,0,0,0
3,12,4,3,6,0,4,4,0,0,4,0,5,2,1,1,2,1,0,0,1
0,12,4,1,14,0,4,4,0,0,3,0,5,2,1,1,2,1,0,0,1
3,12,4,3,7,4,4,4,1,0,3,1,3,0,1,1,1,2,0,0,0
2,24,4,2,36,4,4,4,0,1,4,3,2,2,0,2,2,1,0,0,1
1,54,0,9,159,0,1,3,0,0,4,3,5,2,0,1,2,1,1,0,0
3,12,4,6,20,4,3,4,1,0,2,2,6,2,1,1,2,1,0,0,1
1,20,3,1,70,4,3,3,0,0,4,1,3,0,0,2,3,2,1,0,1
3,24,2,0,14,1,4,4,0,0,4,0,4,2,0,1,1,1,0,0,1
1,36,2,3,23,0,3,4,0,0,4,2,2,2,0,1,2,1,0,0,1
3,12,2,1,24,4,1,2,0,0,4,2,2,2,0,1,2,1,1,0,1
1,24,4,10,119,0,2,2,0,1,3,2,3,2,1,2,3,2,1,0,0
1,12,2,0,60,0,3,2,0,0,2,2,3,2,1,1,2,1,0,0,1
2,15,2,6,3,0,1,4,1,0,4,1,2,2,0,1,2,1,1,0,1
1,18,2,0,62,0,3,3,0,0,3,0,2,2,0,1,1,1,0,0,1
3,36,4,0,78,0,2,4,1,0,2,0,2,1,1,2,2,1,1,0,0
0,12,2,3,16,2,4,3,0,0,1,0,3,2,1,1,2,1,0,0,1
3,48,4,3,35,4,4,4,0,0,1,0,4,2,1,1,2,1,1,0,1
0,42,2,3,71,4,3,4,1,0,3,2,3,2,1,1,3,1,1,0,0
0,10,4,2,21,4,1,2,1,1,3,0,2,2,0,2,2,1,0,1,1
0,33,4,2,42,2,2,1,1,0,4,2,2,2,1,2,2,1,0,0,0
1,12,4,0,23,2,3,3,0,0,3,2,3,2,1,1,3,1,1,0,1
0,12,4,0,21,0,2,4,0,0,2,1,3,2,1,2,2,1,0,0,1
0,12,2,3,7,0,2,4,0,0,2,0,4,2,1,1,1,1,0,0,1
1,12,2,5,6,0,2,4,0,0,2,2,3,2,1,1,2,1,0,0,0
0,36,3,6,68,0,2,4,0,0,3,1,2,1,1,1,2,1,1,0,0
3,15,2,2,27,0,1,2,0,0,3,1,2,0,1,2,1,1,0,0,1
3,60,2,3,101,1,3,2,1,0,4,0,2,2,1,1,2,1,1,0,1
1,15,4,3,27,4,3,4,0,2,2,0,3,0,1,3,2,1,1,0,1
2,12,2,3,18,0,2,2,1,0,2,2,4,2,0,1,1,1,1,0,1
1,36,2,3,47,0,1,4,1,0,1,3,3,2,1,1,3,1,1,0,1
0,27,2,3,34,0,2,3,0,0,2,2,2,2,1,1,3,1,0,0,1
3,21,4,2,22,0,1,4,1,0,4,1,2,2,1,1,2,1,1,0,1
1,48,1,9,35,1,3,4,0,0,2,2,3,2,1,1,2,1,0,0,1
0,6,4,0,8,0,4,1,1,0,4,3,3,2,1,2,2,1,1,0,1
3,12,4,0,6,1,3,4,1,0,3,2,5,2,1,2,2,1,1,0,1
3,18,4,3,15,3,4,4,0,0,4,2,4,2,1,2,2,1,0,0,1
3,6,2,3,13,1,4,2,0,0,4,3,4,0,2,1,2,2,1,0,1
3,10,2,3,19,0,2,1,0,0,4,1,3,2,1,1,2,1,1,1,1
2,36,2,3,58,0,2,4,0,0,1,2,2,2,1,1,2,1,0,0,1
0,12,2,2,12,0,2,2,1,0,4,2,2,2,0,1,2,1,0,0,0
0,12,1,8,3,0,4,4,0,0,1,2,4,0,1,1,1,1,0,0,1
1,24,2,0,35,1,3,2,0,0,3,2,3,0,1,2,2,1,1,0,1
3,6,4,3,18,4,2,1,0,0,2,0,3,2,1,2,1,2,0,0,1
3,24,4,3,28,1,4,3,0,0,4,0,3,2,1,1,2,2,1,0,1
3,18,4,0,10,0,1,4,1,0,1,1,3,2,1,2,2,1,0,0,1
3,15,2,4,12,2,3,4,0,0,3,1,3,2,1,2,2,1,1,0,1
1,10,2,0,73,0,0,2,0,0,4,3,7,0,2,1,3,1,1,0,1
3,6,2,2,29,2,2,1,0,0,2,2,3,2,1,1,2,1,1,0,1
0,18,2,2,11,0,0,4,1,0,2,2,3,2,1,1,2,1,0,0,0
1,11,2,2,15,3,1,4,1,0,1,0,2,2,1,1,2,1,0,0,1
1,24,4,9,19,0,4,4,0,0,4,0,3,2,1,2,2,1,1,0,0
0,15,0,0,9,0,4,4,0,0,3,2,3,2,0,2,2,2,0,0,0
3,12,2,2,7,0,2,4,1,0,1,0,2,2,1,1,2,1,1,0,1
1,24,3,2,20,0,0,3,1,0,2,1,3,2,1,1,3,1,1,0,0
0,21,3,6,34,0,1,2,0,0,1,1,2,2,1,2,2,1,0,0,0
3,30,1,1,74,4,0,4,1,0,1,0,5,0,1,1,3,1,1,0,0
0,12,2,2,25,0,2,2,0,0,1,2,4,2,1,1,2,1,0,0,1
0,6,4,3,3,2,4,4,0,0,4,2,5,2,1,2,2,1,0,0,1
3,12,2,3,19,0,3,4,0,0,2,2,3,2,0,2,3,2,1,0,1
3,36,3,9,95,0,1,1,0,0,1,2,2,2,1,2,2,1,0,0,0
