1,80,95,0,89,0
1,82,87,0,85,0
1,88,76,0,81,0
1,76,84,0,80,0
1,76,82,0,79,0
1,70,84,1,78,0
1,73,81,0,78,0
1,87,69,0,76,0
1,80,74,0,76,0
1,79,74,1,76,0
1,73,77,0,75,0
1,76,74,0,75,0
1,82,70,2,74,0
1,68,74,2,71,0
1,56,81,0,71,0
1,70,70,2,70,0
1,62,75,0,69,1
1,78,64,0,69,1
1,71,68,0,69,1
1,59,76,0,69,1
1,57,75,0,67,1
1,52,77,2,67,1
1,67,65,1,65,1
1,58,65,1,62,1
1,67,56,2,60,1
1,57,61,1,59,1
1,70,50,2,58,1
1,42,67,1,57,1
1,53,58,0,56,1
1,60,53,2,55,1
1,54,49,2,51,1
0,88,91,0,90,0
0,87,87,0,87,0
0,73,91,0,84,0
0,80,84,0,82,0
0,68,91,0,81,0
0,69,86,0,79,0
0,77,76,2,76,0
0,61,86,2,76,0
0,80,73,2,75,0
0,74,77,0,75,0
0,63,83,0,75,0
0,65,80,2,74,0
0,78,70,0,73,0
0,66,76,0,72,0
0,92,59,2,72,0
0,72,72,0,72,0
0,73,71,0,71,0
0,77,66,0,70,0
0,73,68,0,70,0
0,71,69,0,70,0
0,64,73,0,69,1
0,70,68,1,69,1
0,73,66,0,69,1
0,58,76,0,69,1
0,62,72,1,68,1
0,64,69,0,67,1
0,79,59,0,67,1
0,56,73,1,66,1
0,55,73,0,65,1
0,66,65,2,65,1
0,57,70,1,65,1
0,69,60,2,63,1
0,51,71,1,63,1
0,71,57,0,62,1
0,50,71,1,62,1
0,56,64,2,61,1
0,56,64,2,60,1
0,51,67,1,60,1
0,51,66,2,60,1
0,49,67,0,60,1
0,46,68,1,59,1
0,60,58,2,59,1
0,51,62,0,57,1
0,44,66,0,57,1
0,44,66,1,57,1
0,45,65,0,57,1
0,55,58,2,57,1
0,54,58,0,56,1
0,58,55,2,56,1
0,52,56,2,54,1
0,52,49,2,50,1
